,Machine failure,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp difference,Power
1482,0,1,1448,52.5,150,11.0,76020.0
1483,0,0,1578,35.6,153,10.899999999999977,56176.8
1484,0,1,1562,39.2,155,11.0,61230.4
1485,0,1,1976,19.3,158,10.899999999999977,38136.8
1486,0,1,1524,34.6,161,11.0,52730.4
1487,0,0,1429,48.5,164,10.900000000000034,69306.5
1488,0,0,1568,36.3,166,10.900000000000034,56918.399999999994
1489,0,1,1723,26.6,168,10.800000000000011,45831.8
1490,0,0,1341,43.8,171,10.800000000000011,58735.799999999996
1491,0,1,1353,46.2,173,10.799999999999955,62508.600000000006
1492,1,1,1479,58.5,176,10.699999999999989,86521.5
1493,0,0,1496,44.9,179,10.800000000000011,67170.4
1494,0,1,1377,48.5,181,10.699999999999989,66784.5
1495,0,2,1383,44.6,184,10.600000000000023,61681.8
1496,1,0,1268,69.4,189,10.699999999999989,87999.20000000001
1497,0,0,1629,34.3,191,10.699999999999989,55874.7
1498,0,0,1790,27.2,193,10.800000000000011,48688.0
1499,0,1,2206,16.3,195,10.699999999999989,35957.8
1500,0,1,2101,17.4,198,10.699999999999989,36557.399999999994
1501,0,1,1436,48.2,201,10.699999999999989,69215.2
1502,0,0,1462,48.2,204,10.699999999999989,70468.40000000001
1503,0,0,1771,26.2,206,10.699999999999989,46400.2
1504,0,0,1506,47.0,208,10.699999999999989,70782.0
1505,0,0,1626,36.7,210,10.699999999999989,59674.200000000004
1506,0,0,1610,33.7,212,10.800000000000011,54257.00000000001
1507,0,1,1376,55.7,214,10.600000000000023,76643.2
1508,0,1,1507,37.3,217,10.600000000000023,56211.1
1509,1,0,1429,37.7,220,10.5,53873.3
1510,0,1,1547,38.9,0,10.599999999999966,60178.299999999996
1511,0,0,1642,30.3,3,10.599999999999966,49752.6
1512,0,2,1503,36.3,5,10.699999999999989,54558.899999999994
1513,0,0,1568,32.9,10,10.599999999999966,51587.2
1514,0,1,1628,37.6,12,10.699999999999989,61212.8
1515,0,1,1614,35.5,15,10.699999999999989,57297.0
1516,0,0,1278,54.0,18,10.699999999999989,69012.0
1517,0,1,1408,38.8,20,10.699999999999989,54630.399999999994
1518,0,2,1371,55.7,23,10.800000000000011,76364.7
1519,0,1,1512,38.5,28,10.699999999999989,58212.0
1520,0,0,1472,40.1,31,10.800000000000011,59027.200000000004
1521,0,1,1585,34.3,33,10.699999999999989,54365.49999999999
1522,0,2,1562,37.7,36,10.800000000000011,58887.4
1523,0,0,1519,36.9,41,10.699999999999989,56051.1
1524,0,0,1601,35.8,43,10.800000000000011,57315.799999999996
1525,0,0,2449,13.8,45,10.800000000000011,33796.200000000004
1526,0,0,1787,27.6,47,10.899999999999977,49321.200000000004
1527,0,2,1425,44.5,49,11.0,63412.5
1528,0,0,1559,34.0,54,10.899999999999977,53006.0
1529,0,0,1557,36.0,56,10.899999999999977,56052.0
1530,0,0,1497,40.5,58,10.899999999999977,60628.5
1531,0,2,1438,41.4,60,10.899999999999977,59533.2
1532,0,1,1417,39.2,65,10.799999999999955,55546.4
1533,0,1,1339,51.4,68,10.899999999999977,68824.59999999999
1534,0,0,1757,29.1,71,10.800000000000011,51128.700000000004
1535,0,0,1581,36.1,73,10.800000000000011,57074.100000000006
1536,0,1,1326,54.4,75,10.699999999999989,72134.4
1537,0,1,1467,39.6,78,10.700000000000045,58093.200000000004
1538,0,0,1798,29.6,81,10.700000000000045,53220.8
1539,0,1,1449,46.4,83,10.699999999999989,67233.59999999999
1540,0,1,1525,39.3,86,10.700000000000045,59932.49999999999
1541,0,0,2304,15.1,89,10.600000000000023,34790.4
1542,0,0,1379,54.7,91,10.599999999999966,75431.3
1543,0,0,1628,34.9,93,10.5,56817.2
1544,0,0,1474,52.7,95,10.600000000000023,77679.8
1545,0,1,1544,38.8,97,10.600000000000023,59907.2
1546,0,0,1391,48.4,100,10.5,67324.4
1547,0,0,1348,55.5,102,10.599999999999966,74814.0
1548,0,1,1349,52.1,104,10.5,70282.90000000001
1549,0,0,1706,29.5,107,10.5,50327.0
1550,0,0,1638,32.4,109,10.5,53071.2
1551,0,0,1458,40.1,111,10.400000000000034,58465.8
1552,0,0,1781,27.8,113,10.399999999999977,49511.8
1553,0,0,1332,59.1,115,10.300000000000011,78721.2
1554,0,1,1584,31.7,117,10.300000000000011,50212.799999999996
1555,0,0,1491,42.0,120,10.200000000000045,62622.0
1556,0,2,1398,47.1,122,10.100000000000023,65845.8
1557,0,0,1585,30.6,127,10.099999999999966,48501.0
1558,0,1,1476,43.5,129,10.100000000000023,64206.0
1559,0,0,1458,41.8,132,10.100000000000023,60944.399999999994
1560,0,1,1510,39.9,134,10.199999999999989,60249.0
1561,0,0,1388,53.8,137,10.199999999999989,74674.4
1562,0,0,2216,16.8,139,10.100000000000023,37228.8
1563,0,0,1402,51.0,141,10.100000000000023,71502.0
1564,0,1,2090,19.0,143,10.199999999999989,39710.0
1565,0,0,1459,42.1,146,10.199999999999989,61423.9
1566,0,1,1403,44.8,148,10.100000000000023,62854.399999999994
1567,0,0,1521,39.3,151,10.099999999999966,59775.299999999996
1568,0,0,1407,47.1,153,10.0,66269.7
1569,0,1,1654,35.3,155,10.099999999999966,58386.2
1570,0,0,1452,43.5,158,10.199999999999989,63162.0
1571,0,0,1528,37.3,160,10.099999999999966,56994.399999999994
1572,0,0,1230,59.6,162,10.100000000000023,73308.0
1573,0,0,1466,42.4,164,10.0,62158.4
1574,0,0,1478,50.1,166,10.0,74047.8
1575,0,0,2057,18.0,168,10.100000000000023,37026.0
1576,0,0,1490,41.7,170,10.099999999999966,62133.00000000001
1577,0,0,1484,43.4,172,10.099999999999966,64405.6
1578,0,0,1593,37.0,174,10.099999999999966,58941.0
1579,0,0,1444,43.8,176,10.0,63247.2
1580,0,1,1444,47.5,178,10.099999999999966,68590.0
1581,0,1,1560,33.0,181,10.100000000000023,51480.0
1582,0,2,1530,42.0,184,10.199999999999989,64260.0
1583,1,0,1310,61.0,189,10.199999999999989,79910.0
1584,0,1,1639,33.3,191,10.100000000000023,54578.7
1585,0,0,1400,48.7,194,10.100000000000023,68180.0
1586,0,1,1486,44.2,196,10.099999999999966,65681.2
1587,0,1,1448,43.3,199,10.100000000000023,62698.399999999994
1588,0,0,1688,32.0,202,10.100000000000023,54016.0
1589,0,1,1453,41.5,204,10.199999999999989,60299.5
1590,0,0,1497,37.7,207,10.199999999999989,56436.9
1591,0,0,1355,49.4,209,10.199999999999989,66937.0
1592,0,0,1592,38.2,211,10.299999999999955,60814.4
1593,0,0,1544,34.7,213,10.300000000000011,53576.8
1594,0,1,1373,51.2,215,10.199999999999989,70297.6
1595,1,0,1365,52.9,218,10.199999999999989,72208.5
1596,0,0,1877,24.3,0,10.100000000000023,45611.1
1597,0,0,1531,40.8,2,10.200000000000045,62464.799999999996
1598,0,0,1501,36.7,4,10.100000000000023,55086.700000000004
1599,0,0,1490,46.2,6,10.100000000000023,68838.0
1600,0,1,1543,43.7,8,10.0,67429.1
1601,0,0,1597,38.2,11,10.0,61005.4
1602,0,2,1600,33.5,13,10.099999999999966,53600.0
1603,0,1,1622,32.1,18,10.0,52066.200000000004
1604,0,0,1452,39.8,21,10.0,57789.6
1605,0,0,1396,42.5,23,10.0,59330.0
1606,0,0,1505,39.7,25,9.899999999999977,59748.50000000001
1607,0,0,1412,48.3,27,10.0,68199.59999999999
1608,0,0,1393,38.0,29,9.899999999999977,52934.0
1609,0,0,1581,34.9,31,10.0,55176.899999999994
1610,0,0,1573,37.9,33,10.0,59616.7
1611,0,1,1726,27.3,35,10.099999999999966,47119.8
1612,0,1,1540,39.8,38,10.0,61291.99999999999
1613,0,0,1296,62.9,41,10.100000000000023,81518.4
1614,0,1,1802,25.8,43,10.099999999999966,46491.6
1615,0,0,1447,48.6,46,10.099999999999966,70324.2
1616,0,2,1662,30.7,48,10.0,51023.4
1617,0,0,1563,34.3,53,10.0,53610.899999999994
1618,0,0,1286,59.5,55,9.900000000000034,76517.0
1619,0,0,1590,34.6,57,9.800000000000011,55014.0
1620,0,0,1492,43.7,59,9.800000000000011,65200.4
1621,0,0,1844,21.9,61,9.900000000000034,40383.6
1622,0,2,1538,38.3,63,9.900000000000034,58905.399999999994
1623,0,0,1921,22.9,68,9.900000000000034,43990.899999999994
1624,0,1,1310,57.9,70,10.0,75849.0
1625,0,0,1365,46.9,73,9.900000000000034,64018.5
1626,0,1,1303,59.3,75,9.900000000000034,77267.9
1627,0,0,1499,37.5,78,9.900000000000034,56212.5
1628,0,0,1451,38.2,80,9.900000000000034,55428.200000000004
1629,0,1,1336,54.4,82,10.0,72678.4
1630,0,0,1412,44.5,85,10.0,62834.0
1631,0,0,1433,39.2,87,10.0,56173.600000000006
1632,0,0,1426,43.6,89,10.0,62173.6
1633,0,0,1476,45.2,91,10.0,66715.2
1634,0,2,1406,58.5,93,10.0,82251.0
1635,0,0,1383,56.5,98,10.0,78139.5
1636,0,0,1505,37.3,100,9.900000000000034,56136.49999999999
1637,0,0,1665,33.9,102,9.900000000000034,56443.5
1638,0,0,1397,45.0,104,9.900000000000034,62865.0
1639,0,1,1450,43.5,106,9.900000000000034,63075.0
1640,0,0,1567,36.4,109,9.800000000000011,57038.799999999996
1641,0,1,1555,37.0,111,10.0,57535.0
1642,0,2,1588,35.4,114,9.800000000000011,56215.2
1643,0,0,1453,37.7,119,9.800000000000011,54778.100000000006
1644,0,0,1622,33.3,121,9.800000000000011,54012.6
1645,0,0,1538,38.5,123,9.900000000000034,59213.0
1646,0,1,1527,42.8,125,9.800000000000011,65355.6
1647,0,0,1761,28.9,128,10.0,50892.899999999994
1648,0,0,1373,50.2,130,9.900000000000034,68924.6
1649,0,2,1482,37.8,132,9.899999999999977,56019.6
1650,0,1,1417,51.0,137,9.899999999999977,72267.0
1651,0,0,1414,51.7,140,9.800000000000011,73103.8
1652,0,2,1635,34.0,142,9.900000000000034,55590.0
1653,0,0,1386,57.3,147,9.800000000000011,79417.8
1654,0,0,1379,62.3,149,9.900000000000034,85911.7
1655,0,1,1577,35.9,151,9.800000000000011,56614.299999999996
1656,0,0,1532,42.5,154,9.900000000000034,65110.0
1657,0,1,1374,48.8,156,9.899999999999977,67051.2
1658,0,2,1570,35.3,159,9.899999999999977,55420.99999999999
1659,0,0,1697,31.0,164,9.899999999999977,52607.0
1660,0,0,1499,44.1,166,9.800000000000011,66105.90000000001
1661,0,1,1411,47.2,168,9.800000000000011,66599.2
1662,0,2,1462,45.5,171,9.699999999999989,66521.0
1663,0,1,1759,28.6,176,9.799999999999955,50307.4
1664,0,0,1535,38.0,179,9.800000000000011,58330.0
1665,0,2,1491,39.7,181,9.699999999999989,59192.700000000004
1666,0,0,1551,36.0,186,9.699999999999989,55836.0
1667,0,0,1769,27.2,188,9.699999999999989,48116.799999999996
1668,0,0,1551,34.1,190,9.699999999999989,52889.100000000006
1669,0,0,1544,31.4,192,9.699999999999989,48481.6
1670,0,0,1528,31.1,194,9.600000000000023,47520.8
1671,0,0,1614,35.8,196,9.799999999999955,57781.2
1672,0,0,1432,49.8,198,9.699999999999989,71313.59999999999
1673,0,1,1384,43.7,200,9.699999999999989,60480.8
1674,0,0,1540,37.8,203,9.699999999999989,58211.99999999999
1675,0,0,1407,43.9,205,9.699999999999989,61767.299999999996
1676,0,2,1418,43.0,207,9.700000000000045,60974.0
1677,0,1,1647,30.8,212,9.600000000000023,50727.6
1678,0,0,1644,32.8,215,9.5,53923.2
1679,0,0,1792,27.9,217,9.5,49996.799999999996
1680,0,1,1610,34.6,219,9.5,55706.0
1681,0,1,1804,26.0,222,9.5,46904.0
1682,1,2,1604,36.1,225,9.5,57904.4
1683,0,1,1403,52.8,0,9.5,74078.4
1684,0,0,1438,44.5,3,9.5,63991.0
1685,0,0,1824,26.3,5,9.400000000000034,47971.200000000004
1686,0,2,1663,28.7,7,9.400000000000034,47728.1
1687,0,0,1502,36.7,12,9.400000000000034,55123.4
1688,0,0,1606,35.5,14,9.5,57013.0
1689,0,0,1561,37.7,16,9.600000000000023,58849.700000000004
1690,0,1,1435,42.9,18,9.5,61561.5
1691,0,0,1602,38.3,21,9.600000000000023,61356.6
1692,0,1,1764,27.7,23,9.5,48862.799999999996
1693,0,2,1683,27.8,26,9.5,46787.4
1694,0,0,1618,35.2,31,9.5,56953.600000000006
1695,0,0,1509,41.6,33,9.600000000000023,62774.4
1696,0,0,1550,39.0,35,9.700000000000045,60450.0
1697,0,1,1519,44.0,37,9.700000000000045,66836.0
1698,0,0,1481,38.0,40,9.700000000000045,56278.0
1699,0,0,1289,48.3,42,9.599999999999966,62258.7
1700,0,1,1844,23.8,44,9.600000000000023,43887.200000000004
1701,0,0,1479,42.5,47,9.699999999999989,62857.5
1702,0,0,1430,47.3,49,9.699999999999989,67639.0
1703,0,1,1636,36.7,51,9.699999999999989,60041.200000000004
1704,0,1,1503,44.7,54,9.699999999999989,67184.1
1705,0,1,1608,32.6,57,9.699999999999989,52420.8
1706,0,0,1521,42.9,60,9.600000000000023,65250.9
1707,0,0,1439,41.6,62,9.600000000000023,59862.4
1708,0,0,1627,31.5,64,9.600000000000023,51250.5
1709,0,0,1749,26.1,66,9.600000000000023,45648.9
1710,0,0,1530,35.9,68,9.600000000000023,54927.0
1711,0,0,1355,51.3,70,9.600000000000023,69511.5
1712,0,0,1551,33.8,72,9.599999999999966,52423.799999999996
1713,0,0,1515,46.7,74,9.600000000000023,70750.5
1714,0,0,1388,48.6,76,9.600000000000023,67456.8
1715,0,0,1585,34.6,78,9.600000000000023,54841.0
1716,0,0,1523,37.7,80,9.599999999999966,57417.100000000006
1717,0,0,1369,54.5,82,9.400000000000034,74610.5
1718,0,1,1681,31.0,84,9.5,52111.0
1719,0,0,1503,38.3,87,9.5,57564.899999999994
1720,0,0,1459,44.5,89,9.5,64925.5
1721,0,0,1688,32.4,91,9.5,54691.2
1722,0,1,1952,21.6,93,9.5,42163.200000000004
1723,0,0,2029,19.9,96,9.600000000000023,40377.1
1724,0,1,1457,52.5,98,9.5,76492.5
1725,0,1,1392,50.4,101,9.5,70156.8
1726,0,0,1906,22.1,104,9.5,42122.600000000006
1727,0,1,1602,33.4,106,9.399999999999977,53506.799999999996
1728,0,0,1465,49.4,109,9.399999999999977,72371.0
1729,0,1,1439,43.8,111,9.399999999999977,63028.2
1730,0,1,1330,55.4,114,9.5,73682.0
1731,0,1,1485,42.0,117,9.599999999999966,62370.0
1732,0,2,1700,28.2,120,9.5,47940.0
1733,0,0,1515,42.8,125,9.600000000000023,64841.99999999999
1734,0,1,1501,39.2,127,9.600000000000023,58839.200000000004
1735,0,0,1380,47.6,130,9.600000000000023,65688.0
1736,0,0,1544,35.9,132,9.5,55429.6
1737,0,0,1743,27.3,134,9.5,47583.9
1738,0,2,1948,21.4,136,9.5,41687.2
1739,0,2,1260,54.2,141,9.399999999999977,68292.0
1740,0,1,1640,33.1,146,9.399999999999977,54284.0
1741,0,1,1363,49.2,149,9.5,67059.6
1742,0,0,1379,49.6,152,9.5,68398.40000000001
1743,0,1,1713,25.8,154,9.5,44195.4
1744,0,1,1461,51.9,157,9.5,75825.9
1745,0,0,1624,29.8,160,9.5,48395.200000000004
1746,0,0,1526,41.1,162,9.600000000000023,62718.6
1747,0,0,2381,14.2,164,9.5,33810.2
1748,0,2,1626,31.1,166,9.300000000000011,50568.600000000006
1749,0,0,1576,33.8,171,9.399999999999977,53268.799999999996
1750,0,1,1617,31.6,173,9.400000000000034,51097.200000000004
1751,0,0,1942,20.6,176,9.300000000000011,40005.200000000004
1752,0,0,1492,37.2,178,9.400000000000034,55502.4
1753,0,0,1470,51.3,180,9.300000000000011,75411.0
1754,0,1,1463,46.5,182,9.399999999999977,68029.5
1755,0,0,1424,46.5,185,9.300000000000011,66216.0
1756,0,1,1363,60.1,187,9.299999999999955,81916.3
1757,0,1,1335,56.2,190,9.299999999999955,75027.0
1758,0,0,1608,33.9,193,9.299999999999955,54511.2
1759,0,2,1606,35.2,195,9.399999999999977,56531.200000000004
1760,0,0,1684,33.1,200,9.399999999999977,55740.4
1761,0,0,1950,20.3,202,9.5,39585.0
1762,0,2,1460,48.6,204,9.400000000000034,70956.0
1763,1,0,1511,31.0,209,9.400000000000034,46841.0
1764,0,2,1318,55.7,0,9.400000000000034,73412.6
1765,0,0,1368,51.8,5,9.400000000000034,70862.4
1766,0,1,1717,27.1,7,9.399999999999977,46530.700000000004
1767,0,1,1520,41.4,10,9.399999999999977,62928.0
1768,0,1,1485,42.0,13,9.5,62370.0
1769,0,0,1981,23.2,16,9.5,45959.2
1770,0,2,1605,31.0,18,9.5,49755.0
1771,0,0,1446,45.3,23,9.5,65503.799999999996
1772,0,0,1508,47.9,25,9.600000000000023,72233.2
1773,0,0,1384,59.5,27,9.5,82348.0
1774,0,1,1519,37.3,29,9.5,56658.7
1775,0,0,1404,48.1,32,9.5,67532.40000000001
1776,0,0,1564,31.1,34,9.600000000000023,48640.4
1777,0,2,1555,36.8,36,9.599999999999966,57223.99999999999
1778,0,0,1325,54.0,41,9.599999999999966,71550.0
1779,0,1,1488,44.0,43,9.599999999999966,65472.0
1780,0,0,1595,32.3,46,9.699999999999989,51518.49999999999
1781,0,0,1662,28.6,48,9.600000000000023,47533.200000000004
1782,0,0,1571,37.4,50,9.600000000000023,58755.399999999994
1783,0,2,1553,41.0,52,9.699999999999989,63673.0
1784,1,0,2886,3.8,57,9.699999999999989,10966.8
1785,0,0,1538,38.2,59,9.800000000000011,58751.600000000006
1786,0,0,1618,33.0,61,9.800000000000011,53394.0
1787,0,0,1364,45.9,63,9.800000000000011,62607.6
1788,0,0,1442,47.3,65,9.699999999999989,68206.59999999999
1789,1,0,1313,67.3,67,9.699999999999989,88364.9
1790,0,0,1847,23.6,69,9.699999999999989,43589.200000000004
1791,0,0,1524,40.8,71,9.699999999999989,62179.2
1792,0,1,1445,48.0,73,9.599999999999966,69360.0
1793,0,0,1761,28.2,76,9.699999999999989,49660.2
1794,0,1,1514,43.5,78,9.699999999999989,65859.0
1795,0,1,1498,38.3,81,9.599999999999966,57373.399999999994
1796,0,2,1542,37.1,84,9.5,57208.200000000004
1797,0,1,1508,41.8,89,9.600000000000023,63034.399999999994
1798,0,1,1431,52.9,92,9.5,75699.9
1799,0,1,1427,45.1,95,9.5,64357.700000000004
1800,0,1,1524,36.3,98,9.5,55321.2
1801,0,1,1427,43.6,101,9.5,62217.200000000004
1802,0,2,1496,44.1,104,9.5,65973.6
1803,0,0,1388,40.3,109,9.599999999999966,55936.399999999994
1804,0,0,1495,48.1,111,9.599999999999966,71909.5
1805,0,2,1376,56.2,113,9.599999999999966,77331.2
1806,0,2,1593,32.2,118,9.600000000000023,51294.600000000006
1807,0,0,1654,28.9,123,9.600000000000023,47800.6
1808,1,0,2567,12.8,125,9.599999999999966,32857.6
1809,0,0,1767,27.0,127,9.599999999999966,47709.0
1810,0,0,1364,53.8,129,9.5,73383.2
1811,0,1,1569,31.2,131,9.699999999999989,48952.799999999996
1812,0,0,1476,36.8,134,9.600000000000023,54316.799999999996
1813,0,0,1479,45.0,136,9.599999999999966,66555.0
1814,0,0,1650,34.1,138,9.599999999999966,56265.0
1815,0,1,1565,36.3,140,9.5,56809.49999999999
1816,0,0,1460,46.5,143,9.5,67890.0
1817,0,0,1664,27.6,145,9.599999999999966,45926.4
1818,0,1,1435,40.9,147,9.599999999999966,58691.5
1819,0,1,2066,19.2,150,9.5,39667.2
1820,0,0,1493,43.7,153,9.399999999999977,65244.100000000006
1821,0,0,1354,43.3,155,9.5,58628.2
1822,0,0,1488,39.4,157,9.5,58627.2
1823,0,0,1414,48.7,159,9.599999999999966,68861.8
1824,0,0,1391,57.4,161,9.399999999999977,79843.4
1825,0,1,1784,27.8,163,9.5,49595.200000000004
1826,0,2,1516,40.1,166,9.5,60791.6
1827,0,1,1420,47.8,171,9.400000000000034,67876.0
1828,0,0,1351,56.3,174,9.399999999999977,76061.3
1829,0,0,1880,23.0,176,9.399999999999977,43240.0
1830,0,0,1859,24.0,178,9.5,44616.0
1831,0,1,1315,54.0,180,9.5,71010.0
1832,0,1,1330,51.7,183,9.599999999999966,68761.0
1833,1,0,1327,61.0,186,9.5,80947.0
1834,0,0,1498,38.1,188,9.399999999999977,57073.8
1835,0,2,1555,35.8,190,9.5,55668.99999999999
1836,0,0,1518,35.8,195,9.5,54344.399999999994
1837,0,0,1392,43.0,197,9.5,59856.0
1838,0,1,1456,39.6,199,9.399999999999977,57657.6
1839,0,0,1715,30.2,0,9.400000000000034,51793.0
1840,0,1,1405,43.7,2,9.5,61398.50000000001
1841,0,0,1668,37.8,5,9.5,63050.399999999994
1842,0,2,1855,22.5,7,9.400000000000034,41737.5
1843,0,0,1496,39.2,12,9.5,58643.200000000004
1844,0,1,1471,44.9,14,9.5,66047.9
1845,0,0,1444,40.0,17,9.5,57760.0
1846,0,2,1514,38.6,19,9.600000000000023,58440.4
1847,0,0,1412,50.7,24,9.5,71588.40000000001
1848,0,2,1429,44.1,26,9.5,63018.9
1849,0,0,1668,32.7,31,9.5,54543.600000000006
1850,0,1,1372,52.8,33,9.5,72441.59999999999
1851,0,1,1365,49.2,36,9.600000000000023,67158.0
1852,0,1,1526,39.1,39,9.5,59666.6
1853,0,0,1486,40.6,42,9.599999999999966,60331.6
1854,0,1,1470,42.6,44,9.599999999999966,62622.0
1855,0,2,1249,62.8,47,9.600000000000023,78437.2
1856,0,1,1752,26.1,52,9.599999999999966,45727.200000000004
1857,0,0,1643,36.5,55,9.699999999999989,59969.5
1858,0,1,1488,36.1,57,9.599999999999966,53716.8
1859,0,0,1355,45.8,60,9.599999999999966,62058.99999999999
1860,0,0,1607,30.3,62,9.800000000000011,48692.1
1861,0,1,1609,30.3,64,9.700000000000045,48752.700000000004
1862,0,0,1517,44.4,67,9.800000000000011,67354.8
1863,0,1,1517,39.5,69,9.800000000000011,59921.5
1864,0,0,1546,37.6,72,9.800000000000011,58129.600000000006
1865,0,0,1567,34.7,74,9.800000000000011,54374.9
1866,0,1,1662,28.9,76,9.799999999999955,48031.799999999996
1867,0,0,1502,41.8,79,9.799999999999955,62783.6
1868,0,0,1361,56.9,81,9.699999999999989,77440.9
1869,0,1,1630,32.7,83,9.800000000000011,53301.00000000001
1870,0,0,1486,42.3,86,9.699999999999989,62857.799999999996
1871,0,0,1840,21.5,88,9.800000000000011,39560.0
1872,0,0,1326,58.4,90,9.800000000000011,77438.4
1873,0,0,1367,57.8,92,9.700000000000045,79012.59999999999
1874,0,0,1598,32.7,94,9.700000000000045,52254.600000000006
1875,0,0,1363,50.1,96,9.699999999999989,68286.3
1876,0,0,1242,62.0,98,9.699999999999989,77004.0
1877,0,1,1566,33.8,100,9.600000000000023,52930.799999999996
1878,0,1,1424,47.7,103,9.599999999999966,67924.8
1879,0,1,1608,33.8,106,9.5,54350.399999999994
1880,0,0,1705,29.1,109,9.599999999999966,49615.5
1881,0,0,1548,45.8,111,9.600000000000023,70898.4
1882,0,1,1581,43.4,113,9.600000000000023,68615.4
1883,0,1,1472,46.7,116,9.600000000000023,68742.40000000001
1884,0,1,1792,26.0,119,9.600000000000023,46592.0
1885,0,0,1683,32.8,122,9.600000000000023,55202.399999999994
1886,0,0,1503,40.7,124,9.700000000000045,61172.100000000006
1887,0,1,1642,32.4,126,9.600000000000023,53200.799999999996
1888,0,1,1902,24.3,129,9.599999999999966,46218.6
1889,0,2,1432,40.2,132,9.699999999999989,57566.4
1890,0,0,1512,40.8,137,9.599999999999966,61689.6
1891,0,0,1764,29.0,139,9.699999999999989,51156.0
1892,0,1,1438,43.6,141,9.599999999999966,62696.8
1893,0,0,1631,29.9,144,9.699999999999989,48766.899999999994
1894,0,2,1880,23.3,146,9.600000000000023,43804.0
1895,0,0,1344,54.3,151,9.700000000000045,72979.2
1896,0,0,1574,35.8,153,9.600000000000023,56349.2
1897,0,0,1418,41.2,155,9.599999999999966,58421.600000000006
1898,0,0,1372,54.1,157,9.699999999999989,74225.2
1899,0,0,1388,40.0,159,9.699999999999989,55520.0
1900,0,2,1493,36.0,161,9.700000000000045,53748.0
1901,0,1,1505,40.1,166,9.700000000000045,60350.5
1902,0,0,1694,29.1,169,9.600000000000023,49295.4
1903,0,0,1968,20.4,171,9.700000000000045,40147.2
1904,0,1,1569,35.6,173,9.600000000000023,55856.4
1905,0,0,1687,29.1,176,9.700000000000045,49091.700000000004
1906,0,0,1430,52.4,178,9.700000000000045,74932.0
1907,0,0,1504,42.4,180,9.700000000000045,63769.6
1908,0,0,1977,20.2,182,9.700000000000045,39935.4
1909,0,0,1435,45.6,184,9.699999999999989,65436.0
1910,0,2,1547,36.8,186,9.699999999999989,56929.6
1911,0,1,1316,57.2,191,9.699999999999989,75275.2
1912,0,1,1621,34.9,194,9.699999999999989,56572.899999999994
1913,0,1,1492,40.2,197,9.800000000000011,59978.4
1914,0,0,1643,32.3,200,9.699999999999989,53068.899999999994
1915,0,0,1492,38.7,202,9.699999999999989,57740.4
1916,0,0,1387,50.8,204,9.699999999999989,70459.59999999999
1917,0,1,1463,47.3,206,9.799999999999955,69199.9
1918,0,1,1496,40.0,0,9.799999999999955,59840.0
1919,0,0,1658,30.0,3,9.800000000000011,49740.0
1920,0,0,2161,17.5,5,9.799999999999955,37817.5
1921,0,0,1665,32.0,7,9.799999999999955,53280.0
1922,0,0,1716,26.6,9,9.800000000000011,45645.600000000006
1923,0,0,1529,34.1,11,9.699999999999989,52138.9
1924,0,0,1353,50.7,13,9.800000000000011,68597.1
1925,0,0,1537,37.7,15,9.800000000000011,57944.9
1926,0,0,1606,30.8,17,9.699999999999989,49464.8
1927,0,2,1314,47.8,19,9.800000000000011,62809.2
1928,0,0,1623,29.9,24,9.800000000000011,48527.7
1929,0,1,1483,50.9,26,9.800000000000011,75484.7
1930,0,1,1569,37.0,29,9.799999999999955,58053.0
1931,0,1,1969,21.7,32,9.800000000000011,42727.299999999996
1932,0,1,1686,29.3,35,9.899999999999977,49399.8
1933,0,0,1638,35.1,38,9.899999999999977,57493.8
1934,0,0,1698,33.3,40,9.799999999999955,56543.399999999994
1935,0,1,1377,55.1,42,9.799999999999955,75872.7
1936,0,1,2129,18.4,45,9.899999999999977,39173.6
1937,0,0,1411,42.4,48,9.800000000000011,59826.4
1938,0,0,1517,40.8,50,9.799999999999955,61893.6
1939,0,1,1303,53.9,52,9.799999999999955,70231.7
1940,0,0,1578,35.6,55,9.799999999999955,56176.8
1941,0,0,1425,58.2,57,9.799999999999955,82935.0
1942,0,0,1456,42.4,59,9.899999999999977,61734.4
1943,0,0,1704,30.9,61,9.899999999999977,52653.6
1944,0,0,1791,27.3,63,10.0,48894.3
1945,0,0,1616,32.8,65,10.0,53004.799999999996
1946,0,0,1622,34.9,67,9.900000000000034,56607.799999999996
1947,0,0,1462,49.9,69,9.900000000000034,72953.8
1948,0,0,1410,45.8,71,10.0,64577.99999999999
1949,0,1,1543,41.9,73,9.899999999999977,64651.7
1950,0,1,1479,47.6,76,9.899999999999977,70400.40000000001
1951,0,0,1839,22.7,79,9.800000000000011,41745.299999999996
1952,0,0,1266,60.5,81,9.800000000000011,76593.0
1953,0,0,1593,34.9,83,9.800000000000011,55595.7
1954,0,0,1459,46.9,85,9.900000000000034,68427.09999999999
1955,0,0,1308,55.2,87,9.800000000000011,72201.6
1956,0,1,1364,46.8,89,9.800000000000011,63835.2
1957,0,2,1618,35.9,92,9.800000000000011,58086.2
1958,0,2,1464,43.2,97,9.800000000000011,63244.8
1959,0,1,1352,49.4,102,9.800000000000011,66788.8
1960,0,0,1446,51.4,105,9.800000000000011,74324.4
1961,0,0,1448,51.2,107,9.699999999999989,74137.6
1962,0,0,1391,48.6,109,9.699999999999989,67602.6
